tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;punto;term;rec;ron;multi;saldo anterior
836;01/12/2020;27/12/2020;38750;0;0;3992;42742;;;due;5822;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;17742
837;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5823;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
838;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5824;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
839;01/12/2020;27/12/2020;117759;0;0;3992;121751;;;due;5825;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;96751
840;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5826;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
841;01/12/2020;27/12/2020;37943;0;0;3992;41935;;;due;5827;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;16935
842;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5828;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
843;01/12/2020;27/12/2020;41169;0;0;3992;45161;;;due;5829;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;20161
844;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5830;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
845;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5831;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
846;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5832;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
847;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5833;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
848;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5834;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
849;01/12/2020;27/12/2020;66008;0;0;3992;70000;;;due;5835;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;45000
850;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5836;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
851;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5837;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
852;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5838;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
853;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5839;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
854;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5840;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
855;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5841;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
