tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;punto;term;rec;ron;multi;saldo anterior
11004;01/12/2020;27/12/2020;38750;0;0;3992;42742;;;due;5831;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;17742
11005;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5832;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11006;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5833;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11007;01/12/2020;27/12/2020;117759;0;0;3992;121751;;;due;5834;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;96751
11008;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5835;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11009;01/12/2020;27/12/2020;37943;0;0;3992;41935;;;due;5836;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;16935
11010;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5837;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11011;01/12/2020;27/12/2020;41169;0;0;3992;45161;;;due;5838;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;20161
11012;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5839;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11013;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5840;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11014;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5841;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11015;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5842;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11016;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5843;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11017;01/12/2020;27/12/2020;66008;0;0;3992;70000;;;due;5844;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;45000
11018;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5845;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11019;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5846;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11020;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5847;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11021;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5848;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11022;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5849;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11023;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5850;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11024;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5851;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11025;01/12/2020;27/12/2020;54395;0;0;3992;58387;;;due;5852;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;33387
11026;01/12/2020;27/12/2020;28508;0;0;3992;32500;;;due;5853;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;7500
11027;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5854;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11028;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5855;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11029;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5856;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11030;01/12/2020;27/12/2020;55685;0;0;3992;59677;;;due;5857;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;34677
11031;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5858;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11032;01/12/2020;27/12/2020;39825;0;0;3992;43817;;;due;5859;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;18817
11033;01/12/2020;27/12/2020;-16935;0;0;0;-16935;;;paid;5860;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11034;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5861;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11035;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5862;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11036;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5863;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11037;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5864;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11038;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5865;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11039;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5866;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11040;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5867;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11041;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5868;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11042;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5869;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11043;01/12/2020;27/12/2020;40067;0;0;3992;44059;;;due;5870;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;19059
11044;01/12/2020;27/12/2020;34008;0;0;3992;38000;;;due;5871;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;13000
11045;01/12/2020;27/12/2020;17782;0;0;3992;21774;;;due;5872;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11046;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;5873;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;25000
11047;01/12/2020;27/12/2020;60175;0;0;3992;64167;;;due;5874;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;39167
11048;01/12/2020;27/12/2020;117782;0;0;3992;121774;;;due;5875;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;96774
11049;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5876;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11050;01/12/2020;27/12/2020;175;0;0;3992;4167;;;due;5877;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11051;01/12/2020;27/12/2020;58266;0;0;3992;62258;;;due;5878;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;37258
11052;01/12/2020;27/12/2020;31492;0;0;3992;35484;;;due;5879;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;10484
11053;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5880;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11054;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5881;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11055;01/12/2020;27/12/2020;2;0;0;0;2;;;due;5882;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11056;01/12/2020;27/12/2020;37675;0;0;3992;41667;;;due;5883;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;16667
11057;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5884;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11058;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5885;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11059;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5886;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11060;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5887;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11061;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5888;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11062;01/12/2020;27/12/2020;25318;0;0;3992;29310;;;due;5889;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;4310
11063;01/12/2020;27/12/2020;99025;0;0;3992;103017;;;due;5890;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;78017
11064;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;5891;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11065;01/12/2020;27/12/2020;4039;0;0;3992;8031;;;due;5892;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;0
11066;01/12/2020;27/12/2020;48508;0;0;3992;52500;;;due;5893;8;0;2;yes;0;%;Monterrey;television;no;0;0;no;Cortado;0;27500
