tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;punto;term;rec;ron;multi;saldo anterior ;;;
19463;05/02/2021;28/02/2021;54341;0;0;3992;58333;;;due;10874;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;33333;;;
19464;05/02/2021;28/02/2021;61331;0;0;3992;65323;;;due;10875;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;40323;;;
19465;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10876;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19466;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;10877;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;25000;;;
19467;05/02/2021;28/02/2021;24000;0;0;0;24000;;;due;10878;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-1000;;;
19468;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10879;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19469;05/02/2021;28/02/2021;68589;0;0;3992;72581;;;due;10880;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;47581;;;
19470;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10881;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19471;05/02/2021;28/02/2021;41841;0;0;3992;45833;;;due;10882;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20833;;;
19472;05/02/2021;28/02/2021;33911;0;0;3992;37903;;;due;10883;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;12903;;;
19473;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10884;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19474;05/02/2021;28/02/2021;72610;0;0;3992;76602;;;due;10885;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;51602;;;
19475;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10886;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19476;05/02/2021;28/02/2021;56922;0;0;3992;60914;;;due;10887;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;35914;;;
19477;05/02/2021;28/02/2021;41976;0;0;3992;45968;;;due;10888;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20968;;;
19478;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;10889;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;11000;;;
19479;05/02/2021;28/02/2021;50008;0;0;3992;54000;;;due;10890;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;29000;;;
19480;05/02/2021;28/02/2021;24234;0;0;3992;28226;;;due;10891;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;3226;;;
19481;05/02/2021;28/02/2021;24000;0;0;0;24000;;;due;10892;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-1000;;;
19482;05/02/2021;28/02/2021;40175;0;0;3992;44167;;;due;10893;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;19167;;;
19483;05/02/2021;28/02/2021;42782;0;0;3992;46774;;;due;10894;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;21774;;;
19484;05/02/2021;28/02/2021;70202;0;0;3992;74194;;;due;10895;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;49194;;;
19485;05/02/2021;28/02/2021;73574;0;0;3992;77566;;;due;10896;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;52566;;;
19486;05/02/2021;28/02/2021;32298;0;0;3992;36290;;;due;10897;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;11290;;;
19487;05/02/2021;28/02/2021;76175;0;0;3992;80167;;;due;10898;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;55167;;;
19488;05/02/2021;28/02/2021;58669;0;0;3992;62661;;;due;10899;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;37661;;;
19489;05/02/2021;28/02/2021;78266;0;0;3992;82258;;;due;10900;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;57258;;;
19490;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;10901;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;11000;;;
19491;05/02/2021;28/02/2021;41841;0;0;3992;45833;;;due;10902;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20833;;;
19492;05/02/2021;28/02/2021;48427;0;0;3992;52419;;;due;10903;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;27419;;;
19493;05/02/2021;28/02/2021;45524;0;0;3992;49516;;;due;10904;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;24516;;;
19494;05/02/2021;28/02/2021;33234;0;0;3992;37226;;;due;10905;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;12226;;;
19495;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10906;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
