tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;puntos;term;rec;ron;multi
10812;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5563;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10813;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5564;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10814;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5565;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10815;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5566;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10816;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5567;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10817;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5568;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10818;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5569;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10819;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5570;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10820;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5571;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10821;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5572;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10822;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5573;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10823;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5574;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10824;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5575;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10825;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5576;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10826;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5577;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10827;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5578;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10828;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5579;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10829;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5580;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10830;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5581;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10831;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5582;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10832;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;5583;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10833;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5584;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10834;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5585;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10835;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5586;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10836;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5587;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10837;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5588;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10838;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5589;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10839;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;5590;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10840;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5591;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10841;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;5592;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10842;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5593;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10843;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;5594;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10844;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5595;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10845;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5596;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10846;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5597;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10847;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;5598;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10848;05/01/2021;31/01/2021;101008;0;0;3992;105000;;;due;5599;8;0;2;yes;0;%;Monterrey;television;10Megas;0;0;no;Activo;0
10849;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5600;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10850;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5601;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10851;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;5602;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10852;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5603;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10853;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5604;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10854;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5605;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10855;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5606;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10856;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5608;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10857;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5609;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
