tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;punto;term;rec;ron;multi;saldo anterior
10209;01/12/2020;27/12/2020;-1786;0;0;0;-1786;;;paid;6745;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10210;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6746;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10211;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6747;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10212;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6748;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10213;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6749;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10214;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;6750;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;25000
10215;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6751;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10216;01/12/2020;27/12/2020;-18600;0;0;0;-18600;;;paid;6752;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10217;01/12/2020;27/12/2020;-806;0;0;0;-806;;;paid;6753;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10218;01/12/2020;27/12/2020;-3333;0;0;0;-3333;;;paid;6754;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10219;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6755;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10220;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6756;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10221;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6757;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10222;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6758;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10223;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6759;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10224;01/12/2020;27/12/2020;-833;0;0;0;-833;;;paid;6760;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10225;01/12/2020;27/12/2020;70975;0;0;3992;74967;;;due;6761;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;49967
10226;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6762;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10227;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6763;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10228;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6764;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10229;01/12/2020;27/12/2020;71005;0;0;3992;74997;;;due;6765;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;49997
10230;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6766;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10231;01/12/2020;27/12/2020;-24361;0;0;0;-24361;;;paid;6767;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10232;01/12/2020;27/12/2020;-15323;0;0;0;-15323;;;paid;6768;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10233;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6769;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10234;01/12/2020;27/12/2020;-500;0;0;0;-500;;;paid;6770;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10235;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6771;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10236;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6772;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10237;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6773;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10238;01/12/2020;27/12/2020;-2863;0;0;3992;1129;;;due;6774;8;0;1;yes;0;%;Monterrey;Television;no;1;0;no;Suspendido;0;0
10239;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6775;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10240;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6776;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10241;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6777;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10242;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6778;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10243;01/12/2020;27/12/2020;71008;0;0;3992;75000;;;due;6779;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;50000
10244;01/12/2020;27/12/2020;-3226;0;0;0;-3226;;;paid;6780;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10245;01/12/2020;27/12/2020;-10833;0;0;0;-10833;;;paid;6781;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10246;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6782;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10247;01/12/2020;27/12/2020;-17742;0;0;0;-17742;;;paid;6783;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10248;01/12/2020;27/12/2020;-4;0;0;0;-4;;;paid;6784;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10249;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6785;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10250;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6786;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10251;01/12/2020;27/12/2020;-7258;0;0;0;-7258;;;paid;6787;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10252;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6788;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10253;01/12/2020;27/12/2020;-17500;0;0;0;-17500;;;paid;6789;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10254;01/12/2020;27/12/2020;5645;0;0;0;5645;;;due;6790;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10255;01/12/2020;27/12/2020;5000;0;0;0;5000;;;due;6791;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10256;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6792;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10257;01/12/2020;27/12/2020;165;0;0;0;165;;;due;6793;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10258;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;6794;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;25000
10259;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6795;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10260;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6796;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10261;01/12/2020;27/12/2020;121008;0;0;3992;125000;;;due;6797;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;100000
10262;01/12/2020;27/12/2020;-1786;0;0;0;-1786;;;paid;6798;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10263;01/12/2020;27/12/2020;58095;0;0;3992;62087;;;due;6799;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;37087
10264;01/12/2020;27/12/2020;-2500;0;0;0;-2500;;;paid;6800;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10265;01/12/2020;27/12/2020;-2419;0;0;0;-2419;;;paid;6801;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10266;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;6802;8;0;2;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;25000
10267;01/12/2020;27/12/2020;5615;0;0;0;5615;;;due;6803;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10268;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6804;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10269;01/12/2020;27/12/2020;3710;0;0;0;3710;;;due;6805;8;0;2;yes;0;%;Monterrey;Television;5Megas;0;0;no;Suspendido;0;0
10270;01/12/2020;27/12/2020;0;0;0;0;0;;;paid;6806;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
10271;01/12/2020;27/12/2020;-5645;0;0;0;-5645;;;paid;6807;8;0;1;yes;0;%;Monterrey;Television;no;0;0;no;Suspendido;0;0
