tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total ;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;punto;term;rec;ron;multi;saldo anterior 
20903;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;12308;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
20904;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;12309;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
20905;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12310;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20906;05/02/2021;28/02/2021;4167;0;0;0;4167;;;due;12311;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-20833
20907;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12312;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20908;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12313;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20909;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12314;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20910;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;12315;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
20911;05/02/2021;28/02/2021;50008;0;0;3992;54000;;;due;12316;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;29000
20912;05/02/2021;28/02/2021;80008;0;0;3992;84000;;;due;12317;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;59000
20913;05/02/2021;28/02/2021;-2903;0;0;0;-2903;Cash;;paid;12318;26;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Suspendido;0;-47903
20914;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12319;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20915;05/02/2021;28/02/2021;-806;0;0;0;-806;Cash;;paid;12320;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25806
20916;05/02/2021;28/02/2021;25000;0;0;0;25000;;;due;12321;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;0
20917;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12322;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20918;05/02/2021;28/02/2021;24000;0;0;0;24000;;;due;12323;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-1000
20919;05/02/2021;28/02/2021;10000;0;0;0;10000;;;due;12324;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-15000
20920;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12325;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20921;05/02/2021;28/02/2021;8065;0;0;0;8065;;;due;12326;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-16935
20922;05/02/2021;28/02/2021;68008;0;0;3992;72000;;;due;12327;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;47000
20923;05/02/2021;28/02/2021;6034;0;0;0;6034;;;due;12328;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-18966
20924;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12329;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20925;05/02/2021;28/02/2021;1613;0;0;0;1613;;;due;12330;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-23387
20926;05/02/2021;28/02/2021;25000;0;0;0;25000;;;due;12331;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;0
20927;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12332;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20928;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12333;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20929;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12334;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20930;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12335;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20931;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12336;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20932;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12337;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20933;05/02/2021;28/02/2021;24456;0;0;3992;28448;;;due;12338;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;3448
20934;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12339;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20935;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12340;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20936;05/02/2021;28/02/2021;117621;0;0;3992;121613;;;due;12341;26;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;66613
20937;05/02/2021;28/02/2021;25000;0;0;0;25000;;;due;12342;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;0
20938;05/02/2021;28/02/2021;24000;0;0;0;24000;;;due;12343;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-1000
20939;05/02/2021;28/02/2021;-1054;0;0;0;-1054;Cash;;paid;12344;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;-56054
20940;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12345;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20941;05/02/2021;28/02/2021;2586;0;0;0;2586;;;due;12346;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-22414
20942;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12347;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20943;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12348;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20944;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12349;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
20945;05/02/2021;28/02/2021;9167;0;0;0;9167;;;due;12350;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-15833
