uno;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos
16279;05/02/2021;28/02/2021;46008;0;0;3992;50000;Cash;;partial;7701;26;5000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16280;05/02/2021;28/02/2021;231008;0;0;3992;235000;;;due;7702;26;;3;yes;0;%;Villanueva;Television;10MegasComercial;23;0;no;Activo;0;0
16281;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7703;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16282;05/02/2021;28/02/2021;71008;0;0;3992;75000;Cash;;partial;7704;26;5000;2;yes;0;%;Villanueva;Television;10Megas;no;2;no;Activo;0;0
16283;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;7705;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;50000
16284;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7706;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16285;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;7707;26;5500;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16286;05/02/2021;28/02/2021;-100000;0;0;0;-100000;Cash;;paid;7708;26;125000;1;yes;0;%;Villanueva;Television;no;no;2;no;Activo;0;0
16287;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7709;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16288;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7710;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16289;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7711;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16290;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7712;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16291;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7713;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16292;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7714;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16293;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7715;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16294;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7716;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16295;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7717;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16296;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7718;26;;2;yes;0;%;Villanueva;Television;no;5;0;no;Activo;0;0
16297;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7719;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16298;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7720;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16299;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7721;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16300;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;7722;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
16301;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7723;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16302;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7724;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
