tid,invoicedate,invoiceduedate,subtotal,shipping,discount,tax,total,pmethod,notes,status,csd,eid,pamnt,items,taxstatus,discstatus,format_discount,refer,television,combo ,punto,term,rec,ron,multi,saldo anterior 
16279,2021-02-05,2021-02-28,46008,0,0,3992,50000,Cash,,partial,7701,26,5000,2,yes,0,%,Villanueva,Television,5Megas,no,2,no,Activo,0,0
16280,2021-02-05,2021-02-28,231008,0,0,3992,235000,,,due,7702,26,,3,yes,0,%,Villanueva,Television,10MegasComercial,23,0,no,Activo,0,0
16281,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7703,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
16282,2021-02-05,2021-02-28,71008,0,0,3992,75000,Cash,,partial,7704,26,5000,2,yes,0,%,Villanueva,Television,10Megas,no,2,no,Activo,0,0
16283,2021-02-05,2021-02-28,71008,0,0,3992,75000,,,due,7705,26,,2,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,50000
16284,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7706,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
16285,2021-02-05,2021-02-28,0,0,0,0,0,Cash,,paid,7707,26,5500,2,yes,0,%,Villanueva,Television,5Megas,no,2,no,Activo,0,0
16286,2021-02-05,2021-02-28,-100000,0,0,0,-100000,Cash,,paid,7708,26,125000,1,yes,0,%,Villanueva,Television,no,no,2,no,Activo,0,0
16287,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7709,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
16288,2021-02-05,2021-02-28,21008,0,0,3992,25000,Cash,,partial,7710,26,30000,2,yes,0,%,Villanueva,Television,5Megas,no,2,no,Activo,0,0
16289,2021-02-05,2021-02-28,51008,0,0,3992,55000,,,due,7711,26,,2,yes,0,%,Villanueva,Television,5Megas,no,0,no,Activo,0,0
16290,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7712,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
16291,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7713,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
16292,2021-02-05,2021-02-28,46008,0,0,3992,50000,,,due,7714,26,,2,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,25000
16293,2021-02-05,2021-02-28,51008,0,0,3992,55000,,,due,7715,26,,2,yes,0,%,Villanueva,Television,5Megas,no,0,no,Activo,0,0
16294,2021-02-05,2021-02-28,51008,0,0,3992,55000,,,due,7716,26,,2,yes,0,%,Villanueva,Television,5Megas,no,0,no,Activo,0,0
16295,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7717,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
16296,2021-02-05,2021-02-28,46008,0,0,3992,50000,,,due,7718,26,,2,yes,0,%,Villanueva,Television,no,5,0,no,Activo,0,0
16297,2021-02-05,2021-02-28,46008,0,0,3992,50000,,,due,7719,26,,2,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,25000
16298,2021-02-05,2021-02-28,21008,0,0,3992,25000,,,due,7720,26,,1,yes,0,%,Villanueva,Television,no,no,0,no,Activo,0,0
