tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;term;rec;ron;multi
7839;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;1;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7840;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;2;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7841;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;3;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7842;06/01/2021;31/01/2021;36008;0;0;3992;40000;;;due;4;8;0;2;yes;0;%;Yopal ;television;1Mega;0;no;Activo;0
7843;06/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5;8;0;1;yes;0;%;Yopal ;television;no;0;no;Activo;0
7844;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;6;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7845;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;7;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7846;06/01/2021;31/01/2021;101008;0;0;3992;105000;;;due;8;8;0;2;yes;0;%;Yopal ;television;10Megas;0;no;Activo;0
7847;06/01/2021;31/01/2021;45000;0;0;0;45000;;;due;9;8;0;0;no;0;%;Yopal ;no;3Megas;0;no;Activo;0
7848;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;10;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7849;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;11;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7850;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;12;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7851;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;13;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7852;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;14;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7853;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;15;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7854;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;16;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7855;06/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;17;8;0;1;yes;0;%;Yopal ;television;no;0;no;Activo;0
7856;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;18;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7857;06/01/2021;31/01/2021;41008;0;0;3992;45000;;;due;19;8;0;2;yes;0;%;Yopal ;television;2Megas;0;no;Activo;0
7858;06/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;20;8;0;1;yes;0;%;Yopal ;television;no;0;no;Activo;0
7859;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;21;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7860;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;23;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7861;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;24;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7862;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;25;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7863;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;26;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7864;06/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;27;8;0;1;yes;0;%;Yopal ;television;no;0;no;Activo;0
7865;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;28;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7866;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;29;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7867;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;30;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7868;06/01/2021;31/01/2021;36008;0;0;3992;40000;;;due;31;8;0;2;yes;0;%;Yopal ;television;1Mega;0;no;Activo;0
7869;06/01/2021;31/01/2021;101008;0;0;3992;105000;;;due;32;8;0;2;yes;0;%;Yopal ;television;10Megas;0;no;Activo;0
7870;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;33;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7871;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;34;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7872;06/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;35;8;0;1;yes;0;%;Yopal ;television;no;0;no;Activo;0
7873;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;36;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7874;06/01/2021;31/01/2021;41008;0;0;3992;45000;;;due;37;8;0;2;yes;0;%;Yopal ;television;2Megas;0;no;Activo;0
7875;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;38;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7876;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;39;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7877;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;40;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7878;06/01/2021;31/01/2021;41008;0;0;3992;45000;;;due;41;8;0;2;yes;0;%;Yopal ;television;2Megas;0;no;Activo;0
7879;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;42;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7880;06/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;43;8;0;2;yes;0;%;Yopal ;television;5Megas;0;no;Activo;0
7881;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;44;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7882;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;45;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
7883;06/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;46;8;0;2;yes;0;%;Yopal ;television;3Megas;0;no;Activo;0
