tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;term;rec;ron;multi
5497;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;3612;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
5498;01/12/2020;27/12/2020;61008;0;0;3992;65000;;;due;3613;8;;2;yes;0;%;Monterrey;television;5Megas;0;no;Activo;0
5499;01/12/2020;27/12/2020;21008;0;0;3992;25000;;;due;3614;8;;1;yes;0;%;Monterrey;television;no;0;no;Activo;0
5500;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;3615;8;;2;yes;0;%;Monterrey;television;10Megas;0;no;Activo;0
5501;01/12/2020;27/12/2020;36976;0;0;3992;40968;;;due;3616;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
5502;01/12/2020;27/12/2020;126008;0;0;3992;130000;;;due;3617;8;;3;yes;0;%;Monterrey;television;5Megas;0;no;Activo;0
5503;01/12/2020;27/12/2020;21008;0;0;3992;25000;;;due;3618;8;;2;yes;0;%;Monterrey;television;3Megas;0;no;Activo;0
5504;01/12/2020;27/12/2020;61008;0;0;3992;65000;;;due;3619;8;;2;yes;0;%;Monterrey;television;5Megas;0;no;Activo;0
5505;01/12/2020;27/12/2020;61008;0;0;3992;65000;;;due;3620;8;;2;yes;0;%;Monterrey;television;5Megas;0;no;Activo;0
5506;01/12/2020;27/12/2020;54879;0;0;3992;58871;;;due;3621;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
5507;01/12/2020;27/12/2020;0;0;0;0;0;;;due;3622;8;;1;yes;0;%;Monterrey;television;no;0;no;Activo;0
5508;01/12/2020;27/12/2020;21008;0;0;3992;25000;;;due;3623;8;;1;yes;0;%;Monterrey;television;no;0;no;Activo;0
5509;01/12/2020;27/12/2020;50008;0;0;3992;54000;;;due;3624;8;;3;yes;0;%;Monterrey;television;3Megas;0;no;Activo;0
5510;01/12/2020;27/12/2020;71008;0;0;3992;75000;;;due;3625;8;;3;yes;0;%;Monterrey;television;3Megas;0;no;Activo;0
5511;01/12/2020;27/12/2020;71008;0;0;3992;75000;;;due;3626;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
5512;01/12/2020;27/12/2020;156008;0;0;3992;160000;;;due;3627;8;;3;yes;0;%;Monterrey;television;10Megas;0;no;Activo;0
5513;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;3628;8;;3;yes;0;%;Monterrey;television;5Megas;0;no;Activo;0
5514;01/12/2020;27/12/2020;21008;0;0;3992;25000;;;due;3629;8;;1;yes;0;%;Monterrey;television;no;0;no;Activo;0
5515;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;3630;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
5516;01/12/2020;27/12/2020;50008;0;0;3992;54000;;;due;3631;8;;3;yes;0;%;Monterrey;television;3Megas;0;no;Activo;0
5517;01/12/2020;27/12/2020;96008;0;0;3992;100000;;;due;3632;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
5518;01/12/2020;27/12/2020;21008;0;0;3992;25000;;;due;3633;8;;1;yes;0;%;Monterrey;television;no;0;no;Activo;0
5519;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;3634;8;;3;yes;0;%;Monterrey;television;5Megas;0;no;Activo;0
5520;01/12/2020;27/12/2020;46008;0;0;3992;50000;;;due;3635;8;;2;yes;0;%;Monterrey;television;no;0;no;Activo;0
